Код на општината;Име на општина;Скор на општината;Ранк на општината;Број на мажи;Број на жени;Вкупен планиран буџет на општината за 21;Вкупен реализиран буџет на општината за 21;Родови јазови;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Вработени лица;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Износ на месечна плата (нето);Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Износ на месечна пензија;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Учество во Советот на општината (советнички и советници);Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Градоначалнички мандати;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Регистрирани годишни вработувања во 2021;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Лица со високо образование;Ранг ; Оценка;Просек;Жени;Мажи;Сооднос жени/мажи;Овозможувачки услови;Ранг;Оценка;Просек;Број;Популација;Стапка;label1 - ова е само кај мене за да направам место за следниве податоци;Ранг;Оценка;Просек;Број;Популација;Стапка;Згрижени деца во државни градинки;Ранг;Оценка;Просек;Број;Популација;Стапка;** Моментален капацитет на градинките (во број на деца);Ранг;Оценка;Просек;Број;Популација;Стапка;label2;Ранг;Оценка;Просек;Број;Популација;Стапка;Државни детски градинки;Ранг;Оценка;Просек;Број;Популација;Стапка;** Приватни детски градинки;Ранг;Оценка;Просек;Број;Популација;Стапка;label3;Ранг;Оценка;Просек;Број;Популација;Стапка;Матични гинеколози;Ранг;Оценка;Просек;Број;Популација;Стапка;Родово одговорна општина;Ранг;Оценка;Просек;Број;Популација;Стапка;Kоординатор за еднакви можности;Ранг;Оценка;Просек;Број;Популација;Стапка;Комисија за еднакви можности;Ранг;Оценка;Просек;Број;Популација;Стапка;Годишен извештај поднесен до МТСП;Ранг;Оценка;Просек;Број;Популација;Стапка;Документ со посебни мерки за родова еднаквост;Ранг;Оценка;Просек;Број;Популација;Стапка;Трансформативност на планираните посебни мерки за родова еднаквост;Ранг;Оценка;Просек;Број;Популација;Стапка;label5;Ранг;Оценка;Просек;Број;Популација;Стапка;Назначени финансиски средства за реализација на родови програми;Ранг;Оценка;Просек;Број;Популација;Стапка;Потрошени финансиски средства за реализација на родови програми;Ранг;Оценка;Просек;Број;Популација;Стапка;Опис на општината
73,00;ЦЕНТАР;73;1;20372;23487;1205081328;902463934;Родови јазови;4;97;62,33;-;-;-;Вработени лица;1;1,07;0,67;10055;9397;1,07;Износ на месечна плата (нето);75;0,81;0,89;39.025;48.147;0,81;Износ на месечна пензија;21;0,89;0,84;20.397;22.847;0,89;Учество во Советот на општината (советнички и советници);14;0,77;0,58;10;13;0,77;Градоначалнички мандати;4;0,25;0,04;1;4;0,25;Регистрирани годишни вработувања во 2021;17;1,02;0,86;20036;19672;1,02;Лица со високо образование;10;1,28;1,02;11321;8864;1,28;Овозможувачки услови;2;96,7;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;1;64,25;20,19;2006;3122;64,25;** Моментален капацитет на градинките (во број на деца); -;-;-;2226;3122;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;24;1,28;1,3;4;3122;1,28;** Приватни детски градинки; -;-;-;3;3122;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;1;1,18;0,13;24;20291;1,18;Родово одговорна општина;22;38,07;27,4;/;/;/;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;2;-;-;-;-;;;;;средства во денари;;% од Буџетот за 2021;Назначени финансиски средства за реализација на родови програми;-;0,8%;3%;100.000;-;0,8%;Потрошени финансиски средства за реализација на родови програми;-;-;2,6%;нема информација;-;;
12,00;ВЕВЧАНИ;72;2;1183;1182;60759000;42737527;Родови јазови;18;82;62,33;-;-;-;Вработени лица;4;0,99;0,67;441;447;0,99;Износ на месечна плата (нето);39;0,9;0,89;22.774;25.292;0,9;Износ на месечна пензија;74;0,76;0,84;11.365;14.968;0,76;Учество во Советот на општината (советнички и советници);12;0,8;0,58;4;5;0,8;Градоначалнички мандати;22;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;3;1,49;0,86;100;67;1,49;Лица со високо образование;50;0,95;1,02;198;208;0,95;Овозможувачки услови;1;100;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;16;37,07;20,19;43;116;37,07;** Моментален капацитет на градинките (во број на деца); -;-;-;100;116;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;2;8,62;1,3;1;116;8,62;** Приватни детски градинки; -;-;-;-;116;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;2;0,98;0,13;1;1023;0,98;Родово одговорна општина;19;38,28;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;2;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;3,3%;3%;20.000;-;3,3%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;-;0,0%;
5,00;БОГДАНЦИ;67;3;3725;3631;280258754;168674449;Родови јазови;14;84;62,33;-;-;-;Вработени лица;25;0,81;0,67;1319;1630;0,81;Износ на месечна плата (нето);5;0,98;0,89;21.002;21.533;0,98;Износ на месечна пензија;17;0,89;0,84;12.958;14.571;0,89;Учество во Советот на општината (советнички и советници);63;0,38;0,58;3;8;0,38;Градоначалнички мандати;9;0,25;0,04;1;4;0,25;Регистрирани годишни вработувања во 2021;40;0,86;0,86;228;265;0,86;Лица со високо образование;31;1,11;1,02;428;384;1,11;Овозможувачки услови;16;38,59;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;5;46,39;20,19;212;457;46,39;** Моментален капацитет на градинките (во број на деца); -;-;-;220;457;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;16;2,19;1,3;1;457;2,19;** Приватни детски градинки; -;-;-;-;457;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;54;0;0,13;0;3140;0;Родово одговорна општина;1;87,77;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;2;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;85,6%;3%;2.400.000;-;85,6%;Потрошени финансиски средства за реализација на родови програми;-;93,4%;2,6%;1576186;-;93,4%;
79,00;ШТИП;56;4;22125;22565;1109370000;905609657;Родови јазови;1;101;62,33;-;-;-;Вработени лица;7;0,96;0,67;8865;9269;0,96;Износ на месечна плата (нето);13;0,95;0,89;23.762;25.016;0,95;Износ на месечна пензија;13;0,9;0,84;14.528;16.117;0,9;Учество во Советот на општината (советнички и советници);13;0,77;0,58;10;13;0,77;Градоначалнички мандати;23;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;6;1,3;0,86;4268;3283;1,3;Лица со високо образование;11;1,28;1,02;4926;3835;1,28;Овозможувачки услови;20;37,63;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;17;36,91;20,19;1126;3051;36,91;** Моментален капацитет на градинките (во број на деца); -;-;-;1144;3051;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;36;0,66;1,3;2;3051;0,66;** Приватни детски градинки; -;-;-;-;3051;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;16;0,26;0,13;5;19369;0,26;Родово одговорна општина;5;50,5;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;4;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;3,2%;3%;350.000;-;3,2%;Потрошени финансиски средства за реализација на родови програми;-;-;2,6%;нема информација;-;-;
22,00;ДЕЛЧЕВО;54;5;6815;6794;315220482;290009206;Родови јазови;25;77;62,33;-;-;-;Вработени лица;8;0,94;0,67;2214;2346;0,94;Износ на месечна плата (нето);67;0,85;0,89;20.976;24.766;0,85;Износ на месечна пензија;72;0,77;0,84;13.449;17.404;0,77;Учество во Советот на општината (советнички и советници);29;0,67;0,58;6;9;0,67;Градоначалнички мандати;36;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;2;1,57;0,86;855;546;1,57;Лица со високо образование;41;1,04;1,02;1007;968;1,04;Овозможувачки услови;5;46,5;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;8;41,27;20,19;305;739;41,27;** Моментален капацитет на градинките (во број на деца); -;-;-;341;739;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;23;1,35;1,3;1;739;1,35;** Приватни детски градинки; -;-;-;-;739;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;5;0,34;0,13;2;5935;0,34;Родово одговорна општина;4;50,77;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;4;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;3,2%;3%;100.000;-;3,2%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;-;0,0%;
81,00;Град Скопје;54;6;255730;269984;7741454000;6290952854;Родови јазови;5;92;62,33;-;-;-;Вработени лица;14;0,87;0,67;91444;105076;0,87;Износ на месечна плата (нето);53;0,87;0,89;283.407;326.240;0,87;Износ на месечна пензија;9;0,92;0,84;15.713;17.077;0,92;Учество во Советот на општината (советнички и советници);25;0,67;0,58;18;27;0,67;Градоначалнички мандати;6;0,25;0,04;1;4;0,25;Регистрирани годишни вработувања во 2021;29;0,9;0,86;43487;48430;0,9;Лица со високо образование;14;1,26;1,02;68225;54328;1,26;Овозможувачки услови;30;30,84;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;28;27,89;20,19;12311;44138;27,89;** Моментален капацитет на градинките (во број на деца); -;-;-;12908;44138;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;42;0,45;1,3;20;44138;0,45;** Приватни детски градинки; -;-;-;2;44138;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;17;0,25;0,13;;224497;0,25;Родово одговорна општина;7;45,53;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;3;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;14,9%;3%;11.500.000;-;14,9%;Потрошени финансиски средства за реализација на родови програми;-;18,3%;2,6%;11500000;-;18,3%;
35,00;КАРПОШ;53;7;30103;33600;1262863000;1024066991;Родови јазови;19;80;62,33;-;-;-;Вработени лица;2;1,02;0,67;14735;14410;1,02;Износ на месечна плата (нето);60;0,86;0,89;37.235;43.225;0,86;Износ на месечна пензија;26;0,88;0,84;18.436;20.859;0,88;Учество во Советот на општината (советнички и советници);33;0,64;0,58;9;14;0,64;Градоначалнички мандати;40;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;31;0,9;0,86;6047;6744;0,9;Лица со високо образование;16;1,25;1,02;14128;11327;1,25;Овозможувачки услови;13;39,71;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;6;44,73;20,19;2071;4630;44,73;** Моментален капацитет на градинките (во број на деца); -;-;-;2095;4630;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;31;0,86;1,3;4;4630;0,86;** Приватни детски градинки; -;-;-;12;4630;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;30;0,17;0,13;5;28823;0,17;Родово одговорна општина;3;51,76;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;4;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;4,8%;3%;600.000;-;4,8%;Потрошени финансиски средства за реализација на родови програми;-;1,2%;2,6%;126000;-;1,2%;
30,00;ЗРНОВЦИ;52;8;1047;1040;54991000;48791413;Родови јазови;22;79;62,33;-;-;-;Вработени лица;15;0,86;0,67;289;335;0,86;Износ на месечна плата (нето);46;0,89;0,89;21.438;24.001;0,89;Износ на месечна пензија;61;0,81;0,84;10.421;12.812;0,81;Учество во Советот на општината (советнички и советници);11;0,8;0,58;4;5;0,8;Градоначалнички мандати;21;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;10;1,12;0,86;55;49;1,12;Лица со високо образование;25;1,15;1,02;71;62;1,15;Овозможувачки услови;3;72,15;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;2;48,45;20,19;47;97;48,45;** Моментален капацитет на градинките (во број на деца); -;-;-;60;97;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;1;10,31;1,3;1;97;10,31;** Приватни детски градинки; -;-;-;-;97;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;41;0;0,13;0;912;0;Родово одговорна општина;53;19,25;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;0;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;0;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;0,0%;3%;0;-;0,0%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;-;0,0%;
17,00;ГЕВГЕЛИЈА;49;9;10722;10891;572329707;481195460;Родови јазови;35;72;62,33;-;-;-;Вработени лица;13;0,89;0,67;4277;4787;0,89;Износ на месечна плата (нето);28;0,91;0,89;22.176;24.296;0,91;Износ на месечна пензија;35;0,85;0,84;13.897;16.269;0,85;Учество во Советот на општината (советнички и советници);39;0,58;0,58;7;12;0,58;Градоначалнички мандати;45;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;43;0,83;0,86;1390;1669;0,83;Лица со високо образование;29;1,13;1,02;1886;1668;1,13;Овозможувачки услови;10;42,54;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;3;47,56;20,19;693;1457;47,56;** Моментален капацитет на градинките (во број на деца); -;-;-;700;1457;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;35;0,69;1,3;1;1457;0,69;** Приватни детски градинки; -;-;-;1;1457;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;22;0,21;0,13;2;9315;0,21;Родово одговорна општина;10;44,76;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;3;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;5,9%;3%;340.000;-;5,9%;Потрошени финансиски средства за реализација на родови програми;-;0,0%;2,6%;0;-;0,0%;
69,00;СТРУМИЦА;48;10;24712;25312;1241269143;1209900019;Родови јазови;12;85;62,33;-;-;-;Вработени лица;21;0,83;0,67;8004;9586;0,83;Износ на месечна плата (нето);15;0,95;0,89;22.924;24.072;0,95;Износ на месечна пензија;6;0,93;0,84;13.207;14.179;0,93;Учество во Советот на општината (советнички и советници);32;0,64;0,58;9;14;0,64;Градоначалнички мандати;39;0;0,04;0;5;0;Регистрирани годишни вработувања во 2021;34;0,88;0,86;2802;3183;0,88;Лица со високо образование;22;1,17;1,02;3939;3353;1,17;Овозможувачки услови;43;25,86;24,3;-;-;-;;;;;деца во градинка;деца до 6 години;% на згрижени;Згрижени деца во државни градинки;35;25,35;20,19;990;3905;25,35;** Моментален капацитет на градинките (во број на деца); -;-;-;743;3905;-;;;;;градинки;деца до 6 години;стапка на 1000 деца;Државни детски градинки;54;0,26;1,3;1;3905;0,26;** Приватни детски градинки; -;-;-;-;3905;-;;;;;Број;жени над 15 години;жени над 15 години;Матични гинеколози;27;0,19;0,13;4;21246;0,19;Родово одговорна општина;2;56,7;27,4;;;;Kоординатор за еднакви можности;-;1;-;-;-;-;Комисија за еднакви можности;-;1;-;-;-;-;Годишен извештај поднесен до МТСП;-;1;-;-;-;-;Документ со посебни мерки за родова еднаквост;-;1;-;-;-;-;Трансформативност на планираните посебни мерки за родова еднаквост;-;4;-;-;-;-;;;;;;;;Назначени финансиски средства за реализација на родови програми;-;2,7%;3%;335.800;-;2,7%;Потрошени финансиски средства за реализација на родови програми;-;2,8%;2,6%;335800;-;2,8%;
